X,Y,Name,OBJECTID,Zone_1,Division_1,PS_Name_1,Assembly,Percentage,Assembly1,Percentage1,Shape_Length,Shape_Area
78.470570073499,17.3832995185164,"
     Begum bazar
    ",39,"South West Zone
","Begumbazar
","Begum bazar
","Goshmahal
","100
",,,4647.22014352352,781875.039016766
78.4590273293512,17.3789401529551,"
     Manghalhat
    ",40,"South West Zone
","Begumbazar
","Manghalhat
","Goshmahal
","90
","Nampally
","10
",6712.6017503408,1705733.86541418
78.4613778546037,17.3886975779169,"
     Habeebnagar
    ",41,"South West Zone
","Asifnagar
","Habeebnagar
","Nampally
","80
","Goshmahal
","20
",4247.46229290079,1266945.24147931
78.4751870052669,17.3927443983526,"
     Abid Road
    ",42,"Central Zone
","Abids
","Abid Road
","Goshmahal
","100
",,,5477.49713844245,1432606.19733645
78.4610691364556,17.3972726528668,"
     Nampally
    ",43,"Central Zone
","Abids
","Nampally
","Nampally
","90
","Goshmahal
","10
",5895.36438444776,1586720.3790109
78.4701959977945,17.4027436169924,"
     Saifabad
    ",44,"Central Zone
","Saifabad
","Saifabad
","Goshmahal
","50
","Khairthabad,Nampally
","30,20
",6992.97552499172,1567012.98097762
78.4506595453242,17.4279312878447,"
     Panjagutta
    ",45,"West Zone
","Panjagutta
","Panjagutta
","Khairathabad
","80
","Jubileehills
","20
",10254.9667779526,3939531.11039872
78.4465030840916,17.4441835801621,"
     S.R Nagar
    ",46,"West Zone
","Panjagutta
","S.R Nagar
","Sanath Nagar
","100
",,,7422.30982476694,2542940.21700078
78.4113458404742,17.4307194291763,"
     Jubilee Hills
    ",47,"West Zone
","Jubilee Hills
","Jubilee Hills
","Khairathabad
","80
","Jubilee Hills
","20
",13599.7192982869,6896054.17622912
78.4301413220635,17.4197702641805,"
     Banjara Hills
    ",48,"West Zone
","Banjara Hills
","Banjara Hills
","Khairathabad
","80
","Jubilee Hills
","20
",16473.2232142151,9272789.04488065
78.3904047359681,17.3819713262441,"
     Golkonda
    ",49,"South West Zone
","Golkonda
","Golkonda
","KARWAN
","100
",,,13494.7653574911,7933062.05753343
78.4457027547434,17.3883168565097,"
     Asifnagar
    ",50,"South West Zone
","Asifnagar
","Asifnagar
","Nampally
","100
",,,6267.23160733069,1892277.2644374
78.4369834206879,17.3974887895991,"
     Humayunagar
    ",51,"South West Zone
","Asifnagar
","Humayunagar
","Nampally
","70
","KARWAN
","30
",12519.6870237822,4150311.47956474
78.420864205184,17.3843240541681,"
     Langer House
    ",52,"South West Zone
","Golkonda
","Langer House
","KARWAN
","100
",,,9217.37840392435,4270077.93293037
78.4982599493525,17.3426229515783,"
     Santoshnagar
    ",53,"South East Zone
","Santoshnagar
","Santoshnagar
","Chandrayangutta
","90
","Yakatpura
","10
",7924.74886828729,2331250.57319827
78.4449407247487,17.3783404655199,"
     Tappachabutra
    ",54,"South West Zone
","Kulsumpura
","Tappachabutra
","Karwan
","40
","Goshamahal,Nampally
","30,30
",7172.55650703276,1915667.9383253
78.4801313913236,17.3298285918508,"
     Chandrayangutta
    ",55,"South East Zone
","Chandrayangutta
","Chandrayangutta
","Chandryangutta
","100
",,,13621.8040229069,3882731.97459784
78.4982541507487,17.3600063453077,"
     Madannapet
    ",56,"South East Zone
","Saidabad
","Madannapet
","Yakathpura
","70
","Malkpet
","30
",5674.26817492704,1625391.60779474
78.4833447648101,17.4380360880702,"
     Ramagopalpet
    ",57,"North Zone
","Mahankali
","Ramagopalpet
","Sanath Nagar
","100
",,,4612.02922387599,1201681.10961335
78.4829215498192,17.4117913396068,"
     Domalguda
    ",58,"Central Zone
","Gandinagar
","Domalguda
","Musheerabad
","90
","Khairathabad
","10
",6341.12139127826,2253368.36203739
78.4740590581388,17.4226671227302,"
     Lake PS
    ",59,"Central Zone
","Gandinagar
","Lake PS
","Khairathabad
","90
","Sanathnagar
","10
",11090.4915322613,6442250.90736216
78.4573950802777,17.4118704448268,"
     Khairtabad
    ",60,"Central Zone
","Saifabad
","Khairtabad
","Khairtabad
","90
","Nampally
","10
",7455.27142568294,1715605.21404136
78.4498428471951,17.4040126110755,"
     Masabtank
    ",61,"West Zone
","Banjara Hills
","Masabtank
","Nampally
","80
","Khairathabad
","20
",5350.48536791376,1011943.17828018
78.4113394663525,17.4089642213079,"
     Filmnagar
    ",62,"West Zone
","Banjara Hills
","Filmnagar
","61-JUBILEE HILLS
","40
","Khairathabad
","60
",9335.49282595517,3672828.83278982
78.506206083666,17.3504344864534,"
     IS Sadan
    ",63,"South East Zone
","Saidabad
","IS Sadan
","Yakutpura
","60
","Lal Bahadur Nagar
","40
",7621.06574380116,2860657.35630898
78.4026789966514,17.3991174074064,"
     Tolichowki
    ",64,"South West Zone
","Golconda
","Tolichowki
","61-JUBILEE HILLS
","60
","KARWAN
","40
",11832.1829454505,5071611.11191945
78.5141534768451,17.4144643228498,"
     Warasiguda
    ",65,"East Zone
","Chilkalguda
","Warasiguda
","Secunderabad
","70
","Musheerababd
","30
",5594.8686025046,1435976.46306845
78.4842699018997,17.4603341294708,"
     Tadbun
    ",66,"North Zone
","Begumpet
","Tadbun
","Secunderabad Cantonment
","100
",,,7034.93699148405,2207209.85200508
78.4695186257114,17.3133072155583,"
     Bandlaguda
    ",67,"South East Zone
","Chandryangutta
","Bandlaguda
","Chandryangutta
","85
","Bahadurpura
","15
",10840.2465760245,4419035.1240579
78.4330752075534,17.384626376826,"
     Gudimalkapur
    ",68,"South West Zone
","Kulsumpura
","Gudimalkapur
","KARWAN
","50
",,,7163.76210069436,1964773.6653228
78.4305365131115,17.4391791746586,"
     Rahmatnagar
    ",69,"West Zone
","Jubilee Hills
","Rahmatnagar
","Jubilee Hills
","100
",,,8269.79126542797,2601391.68522289
78.4215772415789,17.4486250720926,"
     Borabanda
    ",70,"West Zone
","Jubilee Hills
","Borabanda
","Jubilee Hills
","100
",,,10523.7372382276,3385503.63648112
78.4752831338102,17.3654957439921,"
     Charminar
    ",71,"South Zone
","Charminar
","Charminar
","Charminar
","100
",,,5316.94760846226,772176.431958035
78.488401953075,17.3619554755612,"
     Rein Bazar
    ",72,"South East Zone
","Santoshnagar
","Rein Bazar
","Yakatpura
","85
","Malakpet,Charminar
","10,5
",4986.71292594326,1214441.18537597
78.4760688463888,17.352679261806,"
     Moghalpura
    ",73,"South Zone
","Mirchowk
","Moghalpura
","Charminar
","100
",,,4395.39638435921,867735.075514892
